County,Library,2016,2017,2018,,,2021,pct_change
Hampshire,Capon Bridge Public Library,58,62.75,59.44,,,7.98,-86.24137931
Hampshire,Hampshire County Public Library,61.03,57.68,68.07,,,15.68,-74.30771752
Randolph,Valley Head Public Library,50.46,28.63,36.38,,,30.82,-38.92191835
Braxton,Burnsville Public Library,39.6,27.24,26.86,,,26.57,-32.9040404
Greenbrier,White Sulphur Springs Public Library,31.36,30.55,24.5,,,22.03,-29.75127551
Summers,Summers County Public Library,19.12,19.22,17.4,,,13.92,-27.19665272
Monroe,Monroe County Public Library,33.51,33.06,29.17,,,24.94,-25.57445539
Randolph,Helvetia Public Library,45.5,18.56,31.01,,,34.26,-24.7032967
Randolph,Pioneer Memorial Public Library,50.26,24.89,33.53,,,38.32,-23.75646637
Braxton,Gassaway Public Library,29.7,16.07,23.01,,,22.68,-23.63636364
Greenbrier,Ronceverte Public Library,31.62,33.74,33.49,,,24.22,-23.40290955
Gilmer,Gilmer Public Library,44.05,44.81,49.31,,,35.48,-19.45516459
Webster,Webster-Addison Public Library,36.88,29.98,34.21,,,31.16,-15.50976139
Braxton,Sutton Public Library,24.45,12.29,16.84,,,20.75,-15.13292434
Greenbrier,Alderson Public Library,48.53,56.11,48.17,,,41.43,-14.6301257
Greenbrier,Greenbrier County Public Library,26.36,27.3,27.4,,,22.91,-13.08801214
Nicholas,Richwood Public Library,31.05,33.64,24.87,,,27.08,-12.78582931
Randolph,Russell Memorial Public Library,30.16,15.36,21.57,,,26.69,-11.50530504
Mercer,Craft Memorial Library,27.88,28,25.73,,,24.68,-11.47776184
Raleigh,Raleigh County Public Library,65.09,65.13,60.95,,,59.06,-9.264095867
Harrison,Lowe Public Library,69.78,71.9,69.19,,,63.38,-9.17168243
Mingo,Mingo County Public Library,45.25,44.41,42.18,,,42.52,-6.033149171
Lincoln,Hamlin-Lincoln County Public Library,61.61,61.07,62.49,,,58.12,-5.664664827
Greenbrier,Rainelle Public Library,35.03,9.74,32.99,,,33.61,-4.053668284
Upshur,Upshur County Public Library,44.7,42.11,42.31,,,43.27,-3.199105145
Kanawha,Kanawha County Public Library,84.63,85.89,85.49,,,82.42,-2.611367127
Kanawha,Nitro Public Library,87.2,87.2,87.3,,,85.17,-2.327981651
Upshur,Charles W. Gibson Public Library,77.73,76.96,77.02,,,75.95,-2.289978129
,Princeton Public Library,66.51,66.59,67.77,,,65.29,-1.83431063
Kanawha,South Charleston Public Library,89.02,82.03,80.54,,,87.49,-1.718714896
Logan,Logan Area Public Library,48.15,47.61,47.03,,,47.64,-1.059190031
Logan,Chapmanville Public Library,54.31,53.35,52.75,,,53.75,-1.031117658
Logan,Buffalo Creek Memorial Library,53.37,53.73,53.1,,,53.09,-0.5246393105
Wood,Parkersburg/Wood Co. Public Library,72.5,71.89,74.92,,,72.97,0.6482758621
Wayne,Wayne County Public Library,42.57,45.48,40.9,,,42.86,0.6812309138
